family,reference,experiment,task,run,run_index,model,llm,groups_n,accuracy,accuracy_sd,accuracy_se,f1,f1_sd,f1_se,jaccard,jaccard_sd,jaccard_se,precision,precision_sd,precision_se,recall,recall_sd,recall_se
classification,,embedding_classification,,,,,,60,0.2175,0.24116683162899102,0.03113450408522301,0.04693674559288731,0.03900168266081426,0.005035095580646673,,,,,,,,,
classification,,embedding_classification_explainer_subgraph,,,,,,60,0.24766666666666667,0.2593039357075907,0.033475994153384585,0.04648879533474906,0.04260841848128803,0.005500723172875495,,,,,,,,,
classification,,raw_graph_reasoning,,,,,,60,0.03716666666666667,0.04403741347207774,0.0056852056329135744,0.0225793921984981,0.08857719193973639,0.01143526630788056,,,,,,,,,
baseline,explainer,baseline_cosine,,,,,,15,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,explainer,baseline_feature,,,,,,15,,,,0.9693382561545099,0.012525420092399226,0.0032340495614742643,0.9604960579011768,0.016158660584139232,0.004172148222625963,0.9604960579011768,0.016158660584139232,0.004172148222625963,1.0,0.0,0.0
baseline,explainer,baseline_random,,,,,,15,,,,0.1530576676291563,0.16301720366620057,0.04209086099629983,0.11887800265659278,0.1376142378896044,0.03553184343649757,0.15108924347731403,0.16258162439656407,0.04197839491248281,0.15983333333333333,0.16584416092912566,0.04282077822294976
baseline,ground_truth,baseline_cosine,,,,,,15,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,ground_truth,baseline_feature,,,,,,15,,,,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
baseline,ground_truth,baseline_random,,,,,,15,,,,0.15954140251283222,0.1669725331574749,0.043112122679531066,0.12258942342004277,0.13983685476449237,0.036105720645926945,0.15954140251283222,0.1669725331574749,0.043112122679531066,0.15954140251283222,0.1669725331574749,0.043112122679531066
reconstruction,explainer,reconstruction_1hop,,,,,,15,,,,0.06929422336922339,0.04184971143220481,0.010805549028034359,0.040672223412122746,0.024585931265069905,0.006348060156041066,0.040696693638605355,0.02457832233779212,0.0063460955394657745,0.24164166666666667,0.14612480039906528,0.03772926122756418
reconstruction,explainer,reconstruction_1hop_embed_expl,,,,,,15,,,,0.02371987807514122,0.03741758349721379,0.009661178516002298,0.014096020204998515,0.022600874676361862,0.005835520748751362,0.014146901083665769,0.02271851772553471,0.005865896053434262,0.07691111111111111,0.10820438968493815,0.0279382532824202
reconstruction,explainer,reconstruction_1hop_no_gnn,,,,,,15,,,,0.19666020347614788,0.07290587826853151,0.018824216824976515,0.12242440371304551,0.06444795354096437,0.01664039005075362,0.1266822975091359,0.07563665710593889,0.019529300888940147,0.6378222222222222,0.11397541273886534,0.029428325027649475
reconstruction,ground_truth,reconstruction_1hop,,,,,,15,,,,0.06929422336922339,0.04184971143220481,0.010805549028034359,0.040672223412122746,0.024585931265069905,0.006348060156041066,0.040696693638605355,0.02457832233779212,0.0063460955394657745,0.24164166666666667,0.14612480039906528,0.03772926122756418
reconstruction,ground_truth,reconstruction_1hop_embed_expl,,,,,,15,,,,0.023733712067236082,0.037443279570493294,0.009667813213593928,0.014103956712935023,0.022615559135568154,0.005839312259814964,0.014156705005234397,0.022736614802374405,0.00587056869858194,0.07693333333333334,0.10824536355040215,0.02794883268899166
reconstruction,ground_truth,reconstruction_1hop_no_gnn,,,,,,15,,,,0.19757255591051684,0.07382171213120002,0.019060684111510382,0.12333112610890402,0.065499279753338,0.01691184131155058,0.127838866634455,0.07708171302254034,0.019902412722229208,0.637778999211978,0.11415922223057313,0.029475784434333418
