dataset,experiment,GNN,LLM,F1,precision,recall,accuracy,jaccard,replicates,n_total
elliptic,embedding_classification,GAT,Qwen/Qwen3.5-27B,0.10055686910669098,0.05351581555426916,0.96,0.386,nan,5,500
elliptic,embedding_classification_explainer_subgraph,GAT,Qwen/Qwen3.5-35B-A3B,0.0790003569468437,0.04144190648255689,0.96,0.212,nan,5,500
elliptic,raw_graph_reasoning,GAT,Qwen/Qwen3.5-4B,0.08172619541840694,0.042866509469391585,1.0,0.194,nan,5,500
elliptic,reconstruction_1hop,GCN,Qwen/Qwen3.5-27B,0.5370310832606805,0.6745,0.4881934889195303,nan,0.47918237780841916,5,500
elliptic,reconstruction_1hop_embed_expl,GCN,Qwen/Qwen3.5-35B-A3B,0.5351146230826314,0.6202075757575758,0.583400998920762,nan,0.4621958762656393,5,500
elliptic,reconstruction_1hop_no_gnn,GraphSAGE,Qwen/Qwen3.5-27B,0.4772194705254097,0.6117666666666667,0.4317457027009689,nan,0.4202901471454133,5,500
ibm_aml_hi_small,embedding_classification,GAT,Qwen/Qwen2.5-3B,0.0,0.0,0.0,0.0,nan,5,500
ibm_aml_hi_small,embedding_classification_explainer_subgraph,GAT,Qwen/Qwen2.5-3B,0.0,0.0,0.0,0.032,nan,5,500
ibm_aml_hi_small,raw_graph_reasoning,GAT,Qwen/Qwen2.5-3B,0.0,0.0,0.0,0.854,nan,5,500
ibm_aml_hi_small,reconstruction_1hop,GAT,Qwen/Qwen3.5-27B,0.7318730158730159,0.8874333333333333,0.6701666666666667,nan,0.6459666666666667,5,500
ibm_aml_hi_small,reconstruction_1hop_embed_expl,GAT,Qwen/Qwen3.5-27B,0.7306031746031746,0.861,0.6803333333333333,nan,0.648,5,500
ibm_aml_hi_small,reconstruction_1hop_no_gnn,GIN,Qwen/Qwen3.5-27B,0.6833212121212121,0.8868761904761905,0.6025,nan,0.5855095238095238,5,500
dgraphfin,embedding_classification,GAT,Qwen/Qwen2.5-3B,0.0,0.0,0.0,0.0,nan,5,500
dgraphfin,embedding_classification_explainer_subgraph,GAT,Qwen/Qwen2.5-3B,0.0,0.0,0.0,0.01,nan,5,500
dgraphfin,raw_graph_reasoning,GAT,Qwen/Qwen2.5-3B,0.0,0.0,0.0,0.4,nan,5,500
dgraphfin,reconstruction_1hop,GIN,Qwen/Qwen2.5-3B,0.3437003066782607,0.22256821852038572,0.9440000000000001,nan,0.21122582890106112,5,500
dgraphfin,reconstruction_1hop_embed_expl,GCN,Qwen/Qwen3.5-35B-A3B,0.3503734487734488,0.4347833333333333,0.3512166666666667,nan,0.27040974025974024,5,500
dgraphfin,reconstruction_1hop_no_gnn,GraphSAGE,Qwen/Qwen2.5-3B,0.33028428700298673,0.2420129358000101,0.8197476190476191,nan,0.20989090360963425,5,500
