GNN,LLM,Fidelity embedding,Fidelity explainer,Fidelity raw graph,Recon,Recon explainer,Recon no GNN
GAT,Qwen 2.5 3B,0.0,0.0,0.0,0.277,0.327,0.547
GAT,Qwen 3.5 27B,0.0,0.0,0.0,0.732,0.731,0.683
GAT,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.657,0.656,0.623
GAT,Qwen 3.5 4B,0.0,0.0,0.0,0.368,0.464,0.504
GAT,Qwen 3.5 9B,0.0,0.0,0.0,0.383,0.485,0.497
GCN,Qwen 2.5 3B,0.0,0.0,0.0,0.287,0.322,0.543
GCN,Qwen 3.5 27B,0.0,0.0,0.0,0.664,0.672,0.682
GCN,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.573,0.572,0.626
GCN,Qwen 3.5 4B,0.0,0.0,0.0,0.196,0.31,0.518
GCN,Qwen 3.5 9B,0.0,0.0,0.0,0.175,0.284,0.492
GIN,Qwen 2.5 3B,0.0,0.0,0.0,0.301,0.32,0.548
GIN,Qwen 3.5 27B,0.0,0.0,0.0,0.612,0.622,0.683
GIN,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.519,0.529,0.624
GIN,Qwen 3.5 4B,0.0,0.0,0.0,0.242,0.365,0.507
GIN,Qwen 3.5 9B,0.0,0.0,0.0,0.192,0.283,0.496
GraphSAGE,Qwen 2.5 3B,0.0,0.0,0.0,0.315,0.325,0.555
GraphSAGE,Qwen 3.5 27B,0.0,0.0,0.0,0.616,0.634,0.681
GraphSAGE,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.529,0.539,0.625
GraphSAGE,Qwen 3.5 4B,0.0,0.0,0.0,0.217,0.307,0.519
GraphSAGE,Qwen 3.5 9B,0.0,0.0,0.0,0.163,0.294,0.489
