dataset,GNN,LLM,experiment,F1
dgraphfin,GAT,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GAT,Qwen 3.5 27B,Fidelity embedding,0.0
dgraphfin,GAT,Qwen 3.5 35B A3B,Fidelity embedding,0.0
dgraphfin,GAT,Qwen 3.5 4B,Fidelity embedding,0.0
dgraphfin,GAT,Qwen 3.5 9B,Fidelity embedding,0.0
dgraphfin,GCN,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GCN,Qwen 3.5 27B,Fidelity embedding,0.0
dgraphfin,GCN,Qwen 3.5 35B A3B,Fidelity embedding,0.0
dgraphfin,GCN,Qwen 3.5 4B,Fidelity embedding,0.0
dgraphfin,GCN,Qwen 3.5 9B,Fidelity embedding,0.0
dgraphfin,GIN,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GIN,Qwen 3.5 27B,Fidelity embedding,0.0
dgraphfin,GIN,Qwen 3.5 35B A3B,Fidelity embedding,0.0
dgraphfin,GIN,Qwen 3.5 4B,Fidelity embedding,0.0
dgraphfin,GIN,Qwen 3.5 9B,Fidelity embedding,0.0
dgraphfin,GraphSAGE,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GraphSAGE,Qwen 3.5 27B,Fidelity embedding,0.0
dgraphfin,GraphSAGE,Qwen 3.5 35B A3B,Fidelity embedding,0.0
dgraphfin,GraphSAGE,Qwen 3.5 4B,Fidelity embedding,0.0
dgraphfin,GraphSAGE,Qwen 3.5 9B,Fidelity embedding,0.0
elliptic,GAT,Qwen 2.5 3B,Fidelity embedding,0.0691661279896574
elliptic,GAT,Qwen 3.5 27B,Fidelity embedding,0.10055686910669098
elliptic,GAT,Qwen 3.5 35B A3B,Fidelity embedding,0.0892575956237928
elliptic,GAT,Qwen 3.5 4B,Fidelity embedding,0.07201254225343232
elliptic,GAT,Qwen 3.5 9B,Fidelity embedding,0.06565248952456262
elliptic,GCN,Qwen 2.5 3B,Fidelity embedding,0.04279903015561847
elliptic,GCN,Qwen 3.5 27B,Fidelity embedding,0.061195269367918165
elliptic,GCN,Qwen 3.5 35B A3B,Fidelity embedding,0.07084311668509699
elliptic,GCN,Qwen 3.5 4B,Fidelity embedding,0.057324309982231494
elliptic,GCN,Qwen 3.5 9B,Fidelity embedding,0.048369533380362456
elliptic,GIN,Qwen 2.5 3B,Fidelity embedding,0.04675716440422323
elliptic,GIN,Qwen 3.5 27B,Fidelity embedding,0.07342036163433921
elliptic,GIN,Qwen 3.5 35B A3B,Fidelity embedding,0.08958009267555875
elliptic,GIN,Qwen 3.5 4B,Fidelity embedding,0.0686526528499963
elliptic,GIN,Qwen 3.5 9B,Fidelity embedding,0.06302552647154286
elliptic,GraphSAGE,Qwen 2.5 3B,Fidelity embedding,0.050603339998367455
elliptic,GraphSAGE,Qwen 3.5 27B,Fidelity embedding,0.07645111420942638
elliptic,GraphSAGE,Qwen 3.5 35B A3B,Fidelity embedding,0.06981323462426331
elliptic,GraphSAGE,Qwen 3.5 4B,Fidelity embedding,0.0699076373251334
elliptic,GraphSAGE,Qwen 3.5 9B,Fidelity embedding,0.054730697861631726
ibm_aml_hi_small,GAT,Qwen 2.5 3B,Fidelity embedding,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 27B,Fidelity embedding,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 35B A3B,Fidelity embedding,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 4B,Fidelity embedding,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 9B,Fidelity embedding,0.0
ibm_aml_hi_small,GCN,Qwen 2.5 3B,Fidelity embedding,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 27B,Fidelity embedding,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 35B A3B,Fidelity embedding,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 4B,Fidelity embedding,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 9B,Fidelity embedding,0.0
ibm_aml_hi_small,GIN,Qwen 2.5 3B,Fidelity embedding,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 27B,Fidelity embedding,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 35B A3B,Fidelity embedding,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 4B,Fidelity embedding,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 9B,Fidelity embedding,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 2.5 3B,Fidelity embedding,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 27B,Fidelity embedding,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 35B A3B,Fidelity embedding,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 4B,Fidelity embedding,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 9B,Fidelity embedding,0.0
dgraphfin,GAT,Qwen 2.5 3B,Fidelity explainer,0.0
dgraphfin,GAT,Qwen 3.5 27B,Fidelity explainer,0.0
dgraphfin,GAT,Qwen 3.5 35B A3B,Fidelity explainer,0.0
dgraphfin,GAT,Qwen 3.5 4B,Fidelity explainer,0.0
dgraphfin,GAT,Qwen 3.5 9B,Fidelity explainer,0.0
dgraphfin,GCN,Qwen 2.5 3B,Fidelity explainer,0.0
dgraphfin,GCN,Qwen 3.5 27B,Fidelity explainer,0.0
dgraphfin,GCN,Qwen 3.5 35B A3B,Fidelity explainer,0.0
dgraphfin,GCN,Qwen 3.5 4B,Fidelity explainer,0.0
dgraphfin,GCN,Qwen 3.5 9B,Fidelity explainer,0.0
dgraphfin,GIN,Qwen 2.5 3B,Fidelity explainer,0.0
dgraphfin,GIN,Qwen 3.5 27B,Fidelity explainer,0.0
dgraphfin,GIN,Qwen 3.5 35B A3B,Fidelity explainer,0.0
dgraphfin,GIN,Qwen 3.5 4B,Fidelity explainer,0.0
dgraphfin,GIN,Qwen 3.5 9B,Fidelity explainer,0.0
dgraphfin,GraphSAGE,Qwen 2.5 3B,Fidelity explainer,0.0
dgraphfin,GraphSAGE,Qwen 3.5 27B,Fidelity explainer,0.0
dgraphfin,GraphSAGE,Qwen 3.5 35B A3B,Fidelity explainer,0.0
dgraphfin,GraphSAGE,Qwen 3.5 4B,Fidelity explainer,0.0
dgraphfin,GraphSAGE,Qwen 3.5 9B,Fidelity explainer,0.0
elliptic,GAT,Qwen 2.5 3B,Fidelity explainer,0.066597972014396
elliptic,GAT,Qwen 3.5 27B,Fidelity explainer,0.07459864729527652
elliptic,GAT,Qwen 3.5 35B A3B,Fidelity explainer,0.0790003569468437
elliptic,GAT,Qwen 3.5 4B,Fidelity explainer,0.06968534986810258
elliptic,GAT,Qwen 3.5 9B,Fidelity explainer,0.06931549318756629
elliptic,GCN,Qwen 2.5 3B,Fidelity explainer,0.04279903015561847
elliptic,GCN,Qwen 3.5 27B,Fidelity explainer,0.05983183483183483
elliptic,GCN,Qwen 3.5 35B A3B,Fidelity explainer,0.06401562636760716
elliptic,GCN,Qwen 3.5 4B,Fidelity explainer,0.047720136449950365
elliptic,GCN,Qwen 3.5 9B,Fidelity explainer,0.04740955837870539
elliptic,GIN,Qwen 2.5 3B,Fidelity explainer,0.04675716440422323
elliptic,GIN,Qwen 3.5 27B,Fidelity explainer,0.07367364392536017
elliptic,GIN,Qwen 3.5 35B A3B,Fidelity explainer,0.07888934062395886
elliptic,GIN,Qwen 3.5 4B,Fidelity explainer,0.06291457306712837
elliptic,GIN,Qwen 3.5 9B,Fidelity explainer,0.06284441845417454
elliptic,GraphSAGE,Qwen 2.5 3B,Fidelity explainer,0.05048911955290771
elliptic,GraphSAGE,Qwen 3.5 27B,Fidelity explainer,0.07502961317168967
elliptic,GraphSAGE,Qwen 3.5 35B A3B,Fidelity explainer,0.07415603178226553
elliptic,GraphSAGE,Qwen 3.5 4B,Fidelity explainer,0.05941503945038487
elliptic,GraphSAGE,Qwen 3.5 9B,Fidelity explainer,0.05365607152416409
ibm_aml_hi_small,GAT,Qwen 2.5 3B,Fidelity explainer,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 27B,Fidelity explainer,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 35B A3B,Fidelity explainer,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 4B,Fidelity explainer,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 9B,Fidelity explainer,0.0
ibm_aml_hi_small,GCN,Qwen 2.5 3B,Fidelity explainer,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 27B,Fidelity explainer,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 35B A3B,Fidelity explainer,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 4B,Fidelity explainer,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 9B,Fidelity explainer,0.0
ibm_aml_hi_small,GIN,Qwen 2.5 3B,Fidelity explainer,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 27B,Fidelity explainer,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 35B A3B,Fidelity explainer,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 4B,Fidelity explainer,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 9B,Fidelity explainer,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 2.5 3B,Fidelity explainer,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 27B,Fidelity explainer,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 35B A3B,Fidelity explainer,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 4B,Fidelity explainer,0.0
ibm_aml_hi_small,GraphSAGE,Qwen 3.5 9B,Fidelity explainer,0.0
dgraphfin,GAT,Qwen 2.5 3B,Fidelity raw graph,0.0
dgraphfin,GAT,Qwen 3.5 27B,Fidelity raw graph,0.0
dgraphfin,GAT,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
dgraphfin,GAT,Qwen 3.5 4B,Fidelity raw graph,0.0
dgraphfin,GAT,Qwen 3.5 9B,Fidelity raw graph,0.0
dgraphfin,GCN,Qwen 2.5 3B,Fidelity raw graph,0.0
dgraphfin,GCN,Qwen 3.5 27B,Fidelity raw graph,0.0
dgraphfin,GCN,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
dgraphfin,GCN,Qwen 3.5 4B,Fidelity raw graph,0.0
dgraphfin,GCN,Qwen 3.5 9B,Fidelity raw graph,0.0
dgraphfin,GIN,Qwen 2.5 3B,Fidelity raw graph,0.0
dgraphfin,GIN,Qwen 3.5 27B,Fidelity raw graph,0.0
dgraphfin,GIN,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
dgraphfin,GIN,Qwen 3.5 4B,Fidelity raw graph,0.0
dgraphfin,GIN,Qwen 3.5 9B,Fidelity raw graph,0.0
dgraphfin,GraphSAGE,Qwen 2.5 3B,Fidelity raw graph,0.0
dgraphfin,GraphSAGE,Qwen 3.5 27B,Fidelity raw graph,0.0
dgraphfin,GraphSAGE,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
dgraphfin,GraphSAGE,Qwen 3.5 4B,Fidelity raw graph,0.0
dgraphfin,GraphSAGE,Qwen 3.5 9B,Fidelity raw graph,0.0
elliptic,GAT,Qwen 2.5 3B,Fidelity raw graph,0.07063807716758477
elliptic,GAT,Qwen 3.5 27B,Fidelity raw graph,0.05010322571298181
elliptic,GAT,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
elliptic,GAT,Qwen 3.5 4B,Fidelity raw graph,0.08172619541840694
elliptic,GAT,Qwen 3.5 9B,Fidelity raw graph,0.02647342995169082
elliptic,GCN,Qwen 2.5 3B,Fidelity raw graph,0.046132583966305284
elliptic,GCN,Qwen 3.5 27B,Fidelity raw graph,0.07082797082797083
elliptic,GCN,Qwen 3.5 35B A3B,Fidelity raw graph,0.07333333333333333
elliptic,GCN,Qwen 3.5 4B,Fidelity raw graph,0.04602785625918474
elliptic,GCN,Qwen 3.5 9B,Fidelity raw graph,0.041130959153487315
elliptic,GIN,Qwen 2.5 3B,Fidelity raw graph,0.04623235930886501
elliptic,GIN,Qwen 3.5 27B,Fidelity raw graph,0.07311899249979745
elliptic,GIN,Qwen 3.5 35B A3B,Fidelity raw graph,0.03076923076923077
elliptic,GIN,Qwen 3.5 4B,Fidelity raw graph,0.05072467946044979
elliptic,GIN,Qwen 3.5 9B,Fidelity raw graph,0.02457516339869281
elliptic,GraphSAGE,Qwen 2.5 3B,Fidelity raw graph,0.050868967290019926
elliptic,GraphSAGE,Qwen 3.5 27B,Fidelity raw graph,0.03954933954933955
elliptic,GraphSAGE,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
elliptic,GraphSAGE,Qwen 3.5 4B,Fidelity raw graph,0.055777982143281335
elliptic,GraphSAGE,Qwen 3.5 9B,Fidelity raw graph,0.03349923838907161
ibm_aml_hi_small,GAT,Qwen 2.5 3B,Fidelity raw graph,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 27B,Fidelity raw graph,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 4B,Fidelity raw graph,0.0
ibm_aml_hi_small,GAT,Qwen 3.5 9B,Fidelity raw graph,0.0
ibm_aml_hi_small,GCN,Qwen 2.5 3B,Fidelity raw graph,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 27B,Fidelity raw graph,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 4B,Fidelity raw graph,0.0
ibm_aml_hi_small,GCN,Qwen 3.5 9B,Fidelity raw graph,0.0
ibm_aml_hi_small,GIN,Qwen 2.5 3B,Fidelity raw graph,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 27B,Fidelity raw graph,0.0
ibm_aml_hi_small,GIN,Qwen 3.5 35B A3B,Fidelity raw graph,0.0
