dataset,GNN,LLM,experiment,F1
dgraphfin,GAT,Qwen 2.5 3B,GNNExplainer recon,0.16182318929929645
dgraphfin,GAT,Qwen 3.5 27B,GNNExplainer recon,0.18114603174603175
dgraphfin,GAT,Qwen 3.5 35B A3B,GNNExplainer recon,0.18973650793650795
dgraphfin,GAT,Qwen 3.5 4B,GNNExplainer recon,0.10607395382395382
dgraphfin,GAT,Qwen 3.5 9B,GNNExplainer recon,0.07931666666666667
dgraphfin,GCN,Qwen 2.5 3B,GNNExplainer recon,0.15997670327683117
dgraphfin,GCN,Qwen 3.5 27B,GNNExplainer recon,0.1976
dgraphfin,GCN,Qwen 3.5 35B A3B,GNNExplainer recon,0.20809632034632033
dgraphfin,GCN,Qwen 3.5 4B,GNNExplainer recon,0.10361666666666666
dgraphfin,GCN,Qwen 3.5 9B,GNNExplainer recon,0.10165
dgraphfin,GIN,Qwen 2.5 3B,GNNExplainer recon,0.167454708845394
dgraphfin,GIN,Qwen 3.5 27B,GNNExplainer recon,0.19042857142857142
dgraphfin,GIN,Qwen 3.5 35B A3B,GNNExplainer recon,0.19390071873281592
dgraphfin,GIN,Qwen 3.5 4B,GNNExplainer recon,0.09938095238095238
dgraphfin,GIN,Qwen 3.5 9B,GNNExplainer recon,0.09267619047619047
dgraphfin,GraphSAGE,Qwen 2.5 3B,GNNExplainer recon,0.15153290833842725
dgraphfin,GraphSAGE,Qwen 3.5 27B,GNNExplainer recon,0.12867142857142858
dgraphfin,GraphSAGE,Qwen 3.5 35B A3B,GNNExplainer recon,0.14719576510446075
dgraphfin,GraphSAGE,Qwen 3.5 4B,GNNExplainer recon,0.07025714285714285
dgraphfin,GraphSAGE,Qwen 3.5 9B,GNNExplainer recon,0.05112380952380952
elliptic,GAT,Qwen 2.5 3B,GNNExplainer recon,0.1561548921540694
elliptic,GAT,Qwen 3.5 27B,GNNExplainer recon,0.2977590187590188
elliptic,GAT,Qwen 3.5 35B A3B,GNNExplainer recon,0.29980485951956537
elliptic,GAT,Qwen 3.5 4B,GNNExplainer recon,0.1563126984126984
elliptic,GAT,Qwen 3.5 9B,GNNExplainer recon,0.17412727272727271
elliptic,GCN,Qwen 2.5 3B,GNNExplainer recon,0.14401064570713754
elliptic,GCN,Qwen 3.5 27B,GNNExplainer recon,0.3818821098749891
elliptic,GCN,Qwen 3.5 35B A3B,GNNExplainer recon,0.33619583682446585
elliptic,GCN,Qwen 3.5 4B,GNNExplainer recon,0.1184112554112554
elliptic,GCN,Qwen 3.5 9B,GNNExplainer recon,0.10509869383490074
elliptic,GIN,Qwen 2.5 3B,GNNExplainer recon,0.14612596827885396
elliptic,GIN,Qwen 3.5 27B,GNNExplainer recon,0.24603608989050166
elliptic,GIN,Qwen 3.5 35B A3B,GNNExplainer recon,0.25875849924928873
elliptic,GIN,Qwen 3.5 4B,GNNExplainer recon,0.12293333333333334
elliptic,GIN,Qwen 3.5 9B,GNNExplainer recon,0.10280676708912002
elliptic,GraphSAGE,Qwen 2.5 3B,GNNExplainer recon,0.15117867621314757
elliptic,GraphSAGE,Qwen 3.5 27B,GNNExplainer recon,0.19811816573519359
elliptic,GraphSAGE,Qwen 3.5 35B A3B,GNNExplainer recon,0.20221199163519918
elliptic,GraphSAGE,Qwen 3.5 4B,GNNExplainer recon,0.0918095238095238
