dataset,GNN,LLM,experiment,Accuracy
dgraphfin,GAT,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GAT,Qwen 3.5 27B,Fidelity embedding,0.358
dgraphfin,GAT,Qwen 3.5 35B A3B,Fidelity embedding,0.256
dgraphfin,GAT,Qwen 3.5 4B,Fidelity embedding,0.056
dgraphfin,GAT,Qwen 3.5 9B,Fidelity embedding,0.006
dgraphfin,GCN,Qwen 2.5 3B,Fidelity embedding,0.002
dgraphfin,GCN,Qwen 3.5 27B,Fidelity embedding,0.358
dgraphfin,GCN,Qwen 3.5 35B A3B,Fidelity embedding,0.438
dgraphfin,GCN,Qwen 3.5 4B,Fidelity embedding,0.35
dgraphfin,GCN,Qwen 3.5 9B,Fidelity embedding,0.14
dgraphfin,GIN,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GIN,Qwen 3.5 27B,Fidelity embedding,0.358
dgraphfin,GIN,Qwen 3.5 35B A3B,Fidelity embedding,0.458
dgraphfin,GIN,Qwen 3.5 4B,Fidelity embedding,0.324
dgraphfin,GIN,Qwen 3.5 9B,Fidelity embedding,0.244
dgraphfin,GraphSAGE,Qwen 2.5 3B,Fidelity embedding,0.0
dgraphfin,GraphSAGE,Qwen 3.5 27B,Fidelity embedding,0.358
dgraphfin,GraphSAGE,Qwen 3.5 35B A3B,Fidelity embedding,0.422
dgraphfin,GraphSAGE,Qwen 3.5 4B,Fidelity embedding,0.346
dgraphfin,GraphSAGE,Qwen 3.5 9B,Fidelity embedding,0.14
elliptic,GAT,Qwen 2.5 3B,Fidelity embedding,0.036000000000000004
elliptic,GAT,Qwen 3.5 27B,Fidelity embedding,0.386
elliptic,GAT,Qwen 3.5 35B A3B,Fidelity embedding,0.304
elliptic,GAT,Qwen 3.5 4B,Fidelity embedding,0.072
elliptic,GAT,Qwen 3.5 9B,Fidelity embedding,0.036000000000000004
elliptic,GCN,Qwen 2.5 3B,Fidelity embedding,0.022
elliptic,GCN,Qwen 3.5 27B,Fidelity embedding,0.372
elliptic,GCN,Qwen 3.5 35B A3B,Fidelity embedding,0.454
elliptic,GCN,Qwen 3.5 4B,Fidelity embedding,0.332
elliptic,GCN,Qwen 3.5 9B,Fidelity embedding,0.12
elliptic,GIN,Qwen 2.5 3B,Fidelity embedding,0.024
elliptic,GIN,Qwen 3.5 27B,Fidelity embedding,0.38
elliptic,GIN,Qwen 3.5 35B A3B,Fidelity embedding,0.498
elliptic,GIN,Qwen 3.5 4B,Fidelity embedding,0.332
elliptic,GIN,Qwen 3.5 9B,Fidelity embedding,0.284
