GNN,LLM,Fidelity embedding,Fidelity explainer,Fidelity raw graph,Recon,Recon explainer,Recon no GNN
GAT,Qwen 2.5 3B,0.0,0.0,0.0,0.341,0.328,0.317
GAT,Qwen 3.5 27B,0.0,0.0,0.0,0.282,0.322,0.202
GAT,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.299,0.325,0.201
GAT,Qwen 3.5 4B,0.0,0.0,0.0,0.152,0.239,0.073
GAT,Qwen 3.5 9B,0.0,0.0,0.0,0.128,0.234,0.078
GCN,Qwen 2.5 3B,0.0,0.0,0.0,0.336,0.334,0.323
GCN,Qwen 3.5 27B,0.0,0.0,0.0,0.33,0.348,0.203
GCN,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.331,0.35,0.198
GCN,Qwen 3.5 4B,0.0,0.0,0.0,0.142,0.265,0.074
GCN,Qwen 3.5 9B,0.0,0.0,0.0,0.139,0.267,0.081
GIN,Qwen 2.5 3B,0.0,0.0,0.0,0.344,0.335,0.316
GIN,Qwen 3.5 27B,0.0,0.0,0.0,0.273,0.294,0.201
GIN,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.293,0.321,0.205
GIN,Qwen 3.5 4B,0.0,0.0,0.0,0.142,0.233,0.075
GIN,Qwen 3.5 9B,0.0,0.0,0.0,0.116,0.209,0.082
GraphSAGE,Qwen 2.5 3B,0.0,0.0,0.0,0.334,0.341,0.33
GraphSAGE,Qwen 3.5 27B,0.0,0.0,0.0,0.196,0.25,0.203
GraphSAGE,Qwen 3.5 35B A3B,0.0,0.0,0.0,0.251,0.267,0.2
GraphSAGE,Qwen 3.5 4B,0.0,0.0,0.0,0.126,0.216,0.08
GraphSAGE,Qwen 3.5 9B,0.0,0.0,0.0,0.087,0.181,0.083
