GNN,LLM,GNNExplainer recon,GNNExplainer recon with explainer,GNNExplainer recon no GNN
GAT,Qwen 2.5 3B,0.162,0.153,0.146
GAT,Qwen 3.5 27B,0.181,0.195,0.133
GAT,Qwen 3.5 35B A3B,0.19,0.204,0.123
GAT,Qwen 3.5 4B,0.106,0.131,0.038
GAT,Qwen 3.5 9B,0.079,0.126,0.039
GCN,Qwen 2.5 3B,0.16,0.158,0.149
GCN,Qwen 3.5 27B,0.198,0.198,0.132
GCN,Qwen 3.5 35B A3B,0.208,0.213,0.123
GCN,Qwen 3.5 4B,0.104,0.158,0.04
GCN,Qwen 3.5 9B,0.102,0.156,0.041
GIN,Qwen 2.5 3B,0.167,0.161,0.145
GIN,Qwen 3.5 27B,0.19,0.194,0.132
GIN,Qwen 3.5 35B A3B,0.194,0.21,0.128
GIN,Qwen 3.5 4B,0.099,0.137,0.041
GIN,Qwen 3.5 9B,0.093,0.132,0.041
GraphSAGE,Qwen 2.5 3B,0.152,0.155,0.149
GraphSAGE,Qwen 3.5 27B,0.129,0.144,0.132
GraphSAGE,Qwen 3.5 35B A3B,0.147,0.146,0.124
GraphSAGE,Qwen 3.5 4B,0.07,0.114,0.044
GraphSAGE,Qwen 3.5 9B,0.051,0.096,0.041
