GNN,LLM,Fidelity embedding,Fidelity explainer,Fidelity raw graph
GAT,Qwen 2.5 3B,0.0,0.01,0.4
GAT,Qwen 3.5 27B,0.358,0.14,0.432
GAT,Qwen 3.5 35B A3B,0.256,0.16,0.82
GAT,Qwen 3.5 4B,0.056,0.014,0.8
GAT,Qwen 3.5 9B,0.006,0.0,0.78
GCN,Qwen 2.5 3B,0.002,0.0,0.396
GCN,Qwen 3.5 27B,0.358,0.362,0.432
GCN,Qwen 3.5 35B A3B,0.438,0.398,0.82
GCN,Qwen 3.5 4B,0.35,0.206,0.8
GCN,Qwen 3.5 9B,0.14,0.084,0.78
GIN,Qwen 2.5 3B,0.0,0.0,0.404
GIN,Qwen 3.5 27B,0.358,0.38,0.43
GIN,Qwen 3.5 35B A3B,0.458,0.382,0.822
GIN,Qwen 3.5 4B,0.324,0.158,0.798
GIN,Qwen 3.5 9B,0.244,0.274,0.78
GraphSAGE,Qwen 2.5 3B,0.0,0.0,0.408
GraphSAGE,Qwen 3.5 27B,0.358,0.364,0.43
GraphSAGE,Qwen 3.5 35B A3B,0.422,0.376,0.822
GraphSAGE,Qwen 3.5 4B,0.346,0.24,0.8
GraphSAGE,Qwen 3.5 9B,0.14,0.084,0.778
