GNN,LLM,Fidelity embedding,Fidelity explainer,Fidelity raw graph,Recon,Recon explainer,Recon no GNN
GAT,Qwen 2.5 3B,0.069,0.067,0.071,0.353,0.34,0.454
GAT,Qwen 3.5 27B,0.101,0.075,0.05,0.477,0.488,0.477
GAT,Qwen 3.5 35B A3B,0.089,0.079,0.0,0.489,0.518,0.463
GAT,Qwen 3.5 4B,0.072,0.07,0.082,0.248,0.309,0.253
GAT,Qwen 3.5 9B,0.066,0.069,0.026,0.248,0.365,0.233
GCN,Qwen 2.5 3B,0.043,0.043,0.046,0.335,0.338,0.448
GCN,Qwen 3.5 27B,0.061,0.06,0.071,0.537,0.513,0.474
GCN,Qwen 3.5 35B A3B,0.071,0.064,0.073,0.496,0.535,0.459
GCN,Qwen 3.5 4B,0.057,0.048,0.046,0.183,0.242,0.253
GCN,Qwen 3.5 9B,0.048,0.047,0.041,0.17,0.326,0.239
GIN,Qwen 2.5 3B,0.047,0.047,0.046,0.341,0.336,0.459
GIN,Qwen 3.5 27B,0.073,0.074,0.073,0.351,0.347,0.467
GIN,Qwen 3.5 35B A3B,0.09,0.079,0.031,0.37,0.387,0.452
GIN,Qwen 3.5 4B,0.069,0.063,0.051,0.174,0.194,0.252
GIN,Qwen 3.5 9B,0.063,0.063,0.025,0.155,0.238,0.237
GraphSAGE,Qwen 2.5 3B,0.051,0.05,0.051,0.346,0.342,0.452
GraphSAGE,Qwen 3.5 27B,0.076,0.075,0.04,0.369,0.349,0.477
GraphSAGE,Qwen 3.5 35B A3B,0.07,0.074,0.0,0.374,0.413,0.463
GraphSAGE,Qwen 3.5 4B,0.07,0.059,0.056,0.154,0.193,0.256
GraphSAGE,Qwen 3.5 9B,0.055,0.054,0.033,0.114,0.231,0.243
