GNN,LLM,GNNExplainer recon,GNNExplainer recon with explainer,GNNExplainer recon no GNN
GAT,Qwen 2.5 3B,0.156,0.149,0.232
GAT,Qwen 3.5 27B,0.298,0.31,0.261
GAT,Qwen 3.5 35B A3B,0.3,0.326,0.259
GAT,Qwen 3.5 4B,0.156,0.192,0.15
GAT,Qwen 3.5 9B,0.174,0.221,0.167
GCN,Qwen 2.5 3B,0.144,0.15,0.232
GCN,Qwen 3.5 27B,0.382,0.35,0.264
GCN,Qwen 3.5 35B A3B,0.336,0.336,0.261
GCN,Qwen 3.5 4B,0.118,0.133,0.156
GCN,Qwen 3.5 9B,0.105,0.193,0.174
GIN,Qwen 2.5 3B,0.146,0.146,0.237
GIN,Qwen 3.5 27B,0.246,0.248,0.26
GIN,Qwen 3.5 35B A3B,0.259,0.261,0.258
GIN,Qwen 3.5 4B,0.123,0.132,0.156
GIN,Qwen 3.5 9B,0.103,0.15,0.173
GraphSAGE,Qwen 2.5 3B,0.151,0.149,0.234
GraphSAGE,Qwen 3.5 27B,0.198,0.201,0.265
GraphSAGE,Qwen 3.5 35B A3B,0.202,0.227,0.267
GraphSAGE,Qwen 3.5 4B,0.092,0.098,0.156
GraphSAGE,Qwen 3.5 9B,0.064,0.133,0.173
