GNN,LLM,Fidelity embedding,Fidelity explainer,Fidelity raw graph
GAT,Qwen 2.5 3B,0.036,0.048,0.112
GAT,Qwen 3.5 27B,0.386,0.158,0.628
GAT,Qwen 3.5 35B A3B,0.304,0.212,0.896
GAT,Qwen 3.5 4B,0.072,0.042,0.194
GAT,Qwen 3.5 9B,0.036,0.038,0.546
GCN,Qwen 2.5 3B,0.022,0.022,0.102
GCN,Qwen 3.5 27B,0.372,0.358,0.646
GCN,Qwen 3.5 35B A3B,0.454,0.396,0.916
GCN,Qwen 3.5 4B,0.332,0.2,0.174
GCN,Qwen 3.5 9B,0.12,0.106,0.568
GIN,Qwen 2.5 3B,0.024,0.024,0.096
GIN,Qwen 3.5 27B,0.38,0.386,0.648
GIN,Qwen 3.5 35B A3B,0.498,0.426,0.912
GIN,Qwen 3.5 4B,0.332,0.258,0.178
GIN,Qwen 3.5 9B,0.284,0.288,0.558
GraphSAGE,Qwen 2.5 3B,0.028,0.026,0.102
GraphSAGE,Qwen 3.5 27B,0.382,0.368,0.634
GraphSAGE,Qwen 3.5 35B A3B,0.472,0.414,0.906
GraphSAGE,Qwen 3.5 4B,0.324,0.192,0.182
GraphSAGE,Qwen 3.5 9B,0.104,0.088,0.558
