GNN,LLM,Fidelity embedding,Fidelity explainer,Fidelity raw graph
GAT,Qwen 2.5 3B,0.0,0.032,0.854
GAT,Qwen 3.5 27B,0.022,0.014,1.0
GAT,Qwen 3.5 35B A3B,0.016,0.016,1.0
GAT,Qwen 3.5 4B,0.004,0.0,0.17
GAT,Qwen 3.5 9B,0.0,0.0,0.896
GCN,Qwen 2.5 3B,0.0,0.0,0.854
GCN,Qwen 3.5 27B,0.022,0.022,1.0
GCN,Qwen 3.5 35B A3B,0.022,0.022,1.0
GCN,Qwen 3.5 4B,0.022,0.016,0.17
GCN,Qwen 3.5 9B,0.008,0.01,0.898
GIN,Qwen 2.5 3B,0.0,0.0,0.854
GIN,Qwen 3.5 27B,0.022,0.022,1.0
GIN,Qwen 3.5 35B A3B,0.022,0.022,1.0
GIN,Qwen 3.5 4B,0.022,0.022,0.17
GIN,Qwen 3.5 9B,0.022,0.022,0.898
GraphSAGE,Qwen 2.5 3B,0.0,0.0,0.854
GraphSAGE,Qwen 3.5 27B,0.022,0.022,1.0
GraphSAGE,Qwen 3.5 35B A3B,0.022,0.022,1.0
GraphSAGE,Qwen 3.5 4B,0.022,0.014,0.17
GraphSAGE,Qwen 3.5 9B,0.018,0.016,0.896
